https://www.dwd.de/DE/fachnutzer/luftfahrt/teaser/luftsportberichte/fbeu40_node.html

GAFOR-Einstufung LBZ Hamburg

GAFOR Bereich LBZ Hamburg 26.08.2026

Gebiet  Name  06-08 UTC  08-10 UTC  10-12 UTC

00  Deutsche Bucht  C  C  C

01  Ostfriesland  C  C  C

02  Nordfriesland-Dithmarschen  C  C  C

03  Schleswig-Holsteinische Geest  C  C  C

04  Schleswig-Holsteinisches Hügelland  C  C  C

05  Nordwestliches Niedersachsen  C  C  C

06  Lüneburger Heide  C  C  C

07  Westliches Niedersachsen  C  C  C

08  Hannover und Braunschweig  C  C  C

09  Teutoburger Wald  C  C  C

10  Weser-Leine-Bergland  O  O  O
